ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
1654,E3040 glucuronide,,C22 H25 N3 O7 S,(M+NH4)+,475.1413,,1.926,0.003,33.708,0.049,201.81,0.29,493.1714,0.0007,0.0002836,0.92,1,3,10,100,,FALSE,0.001,0.001,0.001,0.001,208093.1,0.001,195423.5,188964.1,359369.8,0.001,283908.9,0.001,336638.2,71221.64,226818.4,109524.4,331752.9
1655,,,,,,,1.48,0.003,46.274,0.101,275.32,0.6,709.4865,0.0005,0.0002836,1.27,1,3,7,100,,FALSE,0.001,0.001,0.001,0.001,336612.5,0.001,408958.2,148725.6,356760.9,0.001,0.001,0.001,446871,0.001,341116.9,0.001,426205.8
1656,Isopentenyl adenosine,7724-76-7,C15 H21 N5 O4,(M+H)+,335.1594,,1.911,0.077,29.883,0.05,180.97,0.3,336.1683,0.0012,0.0002835,1.95,1,3,5,85.6,,FALSE,0.001,0.001,0.001,0.001,0.001,150036.7,248242.3,0.001,265035.9,0.001,0.001,483997,0.001,0.001,830550.8,0.001,0.001
1657,O-Acetylcypholophine,26482-11-1,C20 H28 N2 O4,(M+NH4)+,360.2049,,1.413,0.002,31.819,0.045,191.96,0.27,378.2399,0.0003,0.0002833,1.19,1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,292322.9,0.001,314575.3,259733.3,358101.5,0.001,64236.03,0.001,468424.6,0.001,302146.7,0.001,360416
1658,"15,16-Dihydrobiliverdin",137429-14-2,C33 H36 N4 O6,(M+NH4)+,584.2635,,1.859,0.007,39.768,0.081,237.2,0.49,602.2957,0.0009,0.0002833,1.61,1,2,6,100,,FALSE,0.001,0.001,149260,399885.5,665031.4,0.001,456523,181708.4,0.001,0.001,0.001,0.001,0.001,88520.77,0.001,0.001,0.001
1659,,,,,,,1.704,0.097,32.025,0.028,193.01,0.17,390.2524,0.0009,0.0002832,1.31,1,3,7,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,211438.7,247760,0.001,0.001,0.001,438144.1,0.001,309338.8,0.001,240812,282472.8,497650.5
1660,N-Hydroxy-L-tryptophan,,C11 H12 N2 O3,(M+H)+,220.0848,,1.666,0.007,24.37,0.057,150.22,0.36,221.0935,0.0005,0.0002832,2.01,1,2,5,100,,FALSE,0.001,0.001,158919.2,0.001,1050278,0.001,0.001,0.001,297846,0.001,0.001,0.001,434062,0.001,0.001,0.001,408289.8
1661,"7H-Dibenzo[c,g]carbazole",194-59-2,C20 H13 N,(M+NH4)+,267.1048,,1.042,0.003,27.247,0.024,166,0.15,285.137,0.0008,0.000283,0.96,1,2,10,100,,FALSE,0.001,0.001,0.001,49248.83,163474.1,190381.1,251058.3,0.001,333959.6,0.001,308767.6,0.001,317236.6,0.001,260686.4,102447.2,348022
1662,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",,C41 H68 N O8 P,(M+H)+,733.4683,,0.924,0.049,46.764,0.149,278.06,0.89,734.4739,0.0018,0.0002829,1.02,1,2,9,97.4,,FALSE,0.001,110901.7,128653.1,183508.7,144332.1,165843,0.001,155862.7,0.001,181227.5,0.001,0.001,0.001,190952.5,0.001,193767.3,0.001
1663,,,,,,,0.236,0.006,38.417,0.111,229.82,0.67,526.4332,0.001,0.0002828,1.97,1,3,4,96.7,,FALSE,0.001,0.001,0.001,228775.1,0.001,384836.3,0.001,562805.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,413832.1,0.001
1664,Hoechst 33342,23491-52-3,C27 H28 N6 O,(M+Na)+,452.2325,,0.62,0.008,33.962,0.038,203.54,0.23,475.2214,0.0007,0.0002826,1.84,1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,356021.4,0.001,620394.2,224523.1,279743.3,0.001,0.001,354585.1,0.001,0.001,0.001,0.001
1665,,,,,,,1.019,0.02,41.759,0.063,248.43,0.38,691.3458,0.001,0.0002825,1.19,1,3,8,97.8,,FALSE,0.001,0.001,0.001,0.001,347991,185991.9,0.001,351042.4,266965.7,0.001,313960.3,0.001,0.001,93427.9,223113.1,0.001,371236.7
1666,,,,,,,0.23,0,39.112,0.087,232.76,0.52,666.0067,0.0007,0.0002824,2.24,1,3,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,451918.9,0.001,0.001,0.001,480814.9,0.001,0.001,0.001,522551.8,0.001,0.001,0.001
1667,"Androsta-5,16-dieno[17,16-b]quinolin-3beta-ol",,C26 H31 N O,(M+H)+,373.2406,,0.252,0.002,33.388,0.07,201.58,0.43,374.2457,0.0002,0.0002819,1.46,1,2,6,100,,FALSE,0.001,0.001,0.001,217141.7,0.001,0.001,416242.1,0.001,551473.9,0.001,330782.1,0.001,0.001,0.001,317404.7,0.001,591622.1
1668,Carbendazim,10605-21-7,C9 H9 N3 O2,(M+NH4)+,191.0695,,1.501,0.003,24.571,0.037,151.96,0.23,209.1042,0.0005,0.0002817,1.01,1,2,11,97.8,,FALSE,130048.1,0.001,156692.1,0.001,87504.23,121196.2,87797.17,0.001,0.001,178376,100960.5,203917,0.001,154362.6,0.001,111671.3,114466.4
1669,Bluensidine,,C8 H16 N4 O6,(M+H)+,264.107,,0.87,0.002,27.507,0.03,168.16,0.19,265.1172,0.0004,0.0002816,1.42,1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,372890.8,0.001,510934,0.001,380511.7,0.001,545979.3,0.001,320617.9,0.001,434764.3
1670,,,,,,,2.821,0.001,50.079,0.114,296.35,0.68,1019.4966,0.0015,0.0002813,2.51,1,3,3,99.7,,FALSE,0.001,92395.89,0.001,0.001,1039458,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1229226,0.001,0.001,0.001,0.001
1671,N-Acetyl-D-Tryptophan,01/05/1980,C13 H14 N2 O3,(M+Na)+,246.1004,161.7,0.461,0.001,26.73,0.11,163.26,0.68,269.0881,0.0016,0.0002812,2.88,1,2,2,81.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1150183,0.001,1474735,0.001,0.001
1672,Trilobolide,50657-07-3,C27 H38 O10,(M+H)+,522.2465,,1.693,0.003,27.843,0.057,166.17,0.34,523.2507,0.0009,0.0002808,1.94,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,377981.2,580578.8,0.001,0.001,0.001,0.001,0.001,301880.3,667188.5,0.001,0.001
1673,,,,,,,0.248,0.005,35.417,0.115,213.04,0.7,424.3647,0.0003,0.0002807,1.8,1,3,5,100,,FALSE,93391.34,0.001,0.001,0.001,0.001,478423.1,240436,0.001,0.001,432386.5,0.001,217955.7,0.001,0.001,0.001,0.001,0.001
1674,,,,,,,1.592,0.004,49.017,0.054,290.63,0.32,883.5695,0.0014,0.0002803,0.79,1,3,13,100,,FALSE,0.001,0.001,21845.57,99727.09,189727.1,0.001,183082.2,232291.2,79252.42,162832.5,182048.3,0.001,118598.1,116878.2,172452.2,192694.1,191037.1
1675,,,,,,,0.233,0.021,51.364,0.021,303.85,0.13,1054.2996,0.0013,0.000279,2.56,1,2,5,97.6,,FALSE,0.001,0.001,0.001,0.001,162728.7,0.001,0.001,0.001,0.001,17990.64,93387.09,425582.4,1576194,0.001,0.001,0.001,0.001
1676,Amino acid(Arg-),,C6 H14 N4 O2,(M+H)+,174.1117,,1.633,0.013,36.349,0.189,228.11,1.19,175.1202,0.0001,0.0002786,1.87,1,2,4,93.7,,FALSE,202962.9,0.001,0.001,0.001,0.001,328462.3,592168.3,0.001,0.001,0.001,628765.7,0.001,0.001,0.001,0.001,0.001,0.001
1677,LysoPE(0:0/14:0),,C19 H40 N O7 P,(M+NH4)+,425.2542,,1.564,0.003,34.081,0.032,204.67,0.19,443.2887,0.0011,0.0002781,1,1,2,9,100,,FALSE,0.001,0.001,0.001,0.001,0.001,175860.2,196022.6,175579.7,356332.5,0.001,259758.4,0.001,332533.4,0.001,213892.3,143528.2,365160.7
1678,Olanzapine,132539-06-1,C17 H20 N4 S,(M+Na)+,312.1409,,1.621,0.002,31.15,0.191,188.72,1.17,335.1308,0.0011,0.0002768,1.95,1,3,5,100,,FALSE,0.001,0.001,0.001,0.001,321223.8,0.001,968575.8,238176,0.001,151345.2,0.001,0.001,0.001,0.001,0.001,0.001,480447.9
1679,Musanolone C,,C19 H14 O4,(M+H)+,306.0892,,0.357,0.001,26.784,0.05,162.63,0.31,307.0978,0.0002,0.0002768,2.87,1,2,2,100,,FALSE,436147.8,333285.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1680,streptothricin F acid,,C19 H36 N8 O9,(M+H)+,520.2605,,2.807,0.004,28.518,0.071,170.26,0.43,521.2655,0.0011,0.0002762,1.25,1,2,7,100,,FALSE,0.001,0.001,0.001,0.001,271144.8,248182.7,0.001,225464.7,0.001,209970.7,0.001,0.001,0.001,198963.3,274984.7,235105.2,0.001
1681,Notoginsenoside R10,335157-20-5,C30 H50 O9,(M+Na)+,554.3455,,2.33,0.005,38.753,0.127,231.32,0.77,577.3364,0.0009,0.0002754,1.02,1,3,9,83.2,,FALSE,0.001,0.001,0.001,0.001,236949.3,175291.8,0.001,226096.9,168131.5,0.001,350239.5,0.001,350504.8,0.001,212475.6,122593.9,345215.8
1682,Eucommin A,99633-12-2,C27 H34 O12,(M+Na)+,550.205,,0.806,0.005,37.007,0.001,220.87,0.01,573.1917,0.0014,0.0002753,2.29,1,3,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,303790.6,0.001,510422.3,0.001,528248.9,0.001
1683,,,,,,,0.223,0.007,46.433,0.076,275.13,0.45,906.2626,0.0015,0.0002748,1.89,1,3,8,100,,FALSE,0.001,0.001,7054.734,0.001,192146.3,83258.19,0.001,0.001,0.001,0.001,356496.4,285364.4,1162755,55136.39,0.001,41944.66,0.001
1684,,,,,,,2.095,0.007,37.902,0.034,223.2,0.2,1343.731,0.0025,0.0002746,0.97,1,2,12,93.7,,FALSE,0.001,154080.1,188971.1,205554.8,0.001,63069.29,0.001,81915.35,63148.01,116138.8,0.001,90401.52,0.001,134705.8,94827.77,113210.7,121629.9
1685,"PG(16:0/18:2(9Z,12Z))",,C40 H75 O10 P,(M+H)+,746.5098,,0.597,0.003,47.558,0.088,282.72,0.53,747.5195,0.0007,0.0002745,1.48,1,3,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,201395.4,0.001,143518.9,0.001,252278.7,0.001,248319.9,0.001,239033.5,0.001,316601.6,0.001
1686,"N1,N10-Dicoumaroylspermidine",65715-79-9,C25 H31 N3 O4,(M+Na)+,437.2315,,2.225,0.003,34.076,0.01,204.42,0.06,460.22,0.0003,0.000274,2.23,1,2,3,96.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,751283.6,0.001,0.001,491217.2,0.001,0.001,861581.9,0.001,0.001,0.001,0.001
1687,,,,,,,2.101,0.013,38.762,0.041,228.19,0.24,1411.7187,0.0041,0.0002734,0.87,1,2,13,93.7,,FALSE,0.001,130750.7,187080,194969.4,80699.36,66808.05,89992.57,92123.69,0.001,0.001,134888.9,81719.7,117623.5,146885.3,74786.74,125285.3,0.001
1688,"PE(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z))",,C43 H70 N O8 P,(M+H)+,759.4839,,0.797,0.019,46.681,0.047,277.39,0.28,760.4896,0.0019,0.0002733,1.04,1,3,9,100,,FALSE,0.001,106666.6,141442.5,0.001,136341.3,130973.1,0.001,157841,0.001,173640.2,0.001,117535.7,0.001,221856,0.001,171739.7,0.001
1689,Crassostrea Secocarotenoid,256505-51-8,C40 H56 O5,(M+NH4)+,616.4128,,0.901,0.004,42.92,0.157,255.82,0.94,634.4461,0.0015,0.0002729,1.9,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,315706.5,0.001,252240.8,0.001,338952,0.001,438570.7,0.001
1690,,,,,,,2.516,0.001,33.629,0.333,199.79,2,688.3765,0.0013,0.0002726,3.08,1,2,2,99.4,,FALSE,214637.3,0.001,863648.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1691,,,,,,,2.745,0.005,42.057,0.091,250.02,0.54,720.3745,0.003,0.0002724,1.46,1,2,6,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,153095.5,453594.8,357084.3,0.001,187646.5,0.001,219423.5,0.001,0.001,0.001,231837.1,0.001
1692,,,,,,,2.65,0.003,34.835,0.138,206.61,0.83,763.9036,0.0017,0.0002719,0.73,1,3,13,100,,FALSE,0.001,0.001,0.001,0.001,216946.2,122015.9,218101.5,127616.8,213023.4,188062.9,196244.1,16716.54,252817.1,46737.96,114567.1,102301.9,198109.8
1693,,,,,,,0.225,0.002,36.427,0.029,217.12,0.17,604.795,0.0006,0.0002716,1.68,1,2,5,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,330933.8,0.001,243154.6,0.001,329461.8,0.001,352690.5,0.001,0.001,0.001,165345.7,0.001
1694,cis-Methylbixin,201996-34-1,C26 H32 O4,(M+Na)+,408.2301,,2.789,0.006,34.189,0.068,205.49,0.41,431.2171,0.0015,0.0002709,1.05,1,3,9,100,,FALSE,0.001,0.001,0.001,131253.4,173867.8,0.001,203479,0.001,276258.9,159161.3,369436.7,0.001,340759.1,0.001,183812.8,0.001,443101.3
1695,"alpha,beta-Didehydrotryptophan",57361-88-3,C11 H10 N2 O2,(M+H)+,202.0742,,0.268,,23.328,,144.44,,203.0822,,0.0002709,4.12,1,2,1,94.6,,FALSE,0.001,0.001,0.001,0.001,0.001,1507969,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1696,,,,,,,2.824,0.002,28.514,0.099,170.33,0.6,510.2492,0.001,0.0002709,2.27,1,2,3,84.8,,FALSE,0.001,0.001,0.001,0.001,0.001,616189.3,0.001,429832.4,773677.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1697,,,,,,,2.623,0.001,30.074,0.04,179.3,0.24,561.7815,0.0008,0.0002708,1.88,1,2,5,99.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,34888.29,528301.3,0.001,0.001,0.001,0.001,0.001,263884,650159.4,0.001,502569.7
1698,,,,,,,0.622,0.006,44.672,0.188,265.69,1.13,715.4553,0.0022,0.0002707,1.57,1,3,6,100,,FALSE,0.001,0.001,0.001,48954.03,0.001,261270.1,0.001,229720.4,0.001,267172.9,0.001,0.001,0.001,319519.8,0.001,296527.8,0.001
1699,Topotecan,123948-87-8,C23 H23 N3 O5,(M+H)+,421.1638,,0.428,0.001,32.111,0.062,193.04,0.37,422.1714,0.0006,0.0002706,1.26,1,3,7,98.8,,FALSE,0.001,0.001,0.001,0.001,0.001,230797.3,328095.7,190514.3,435165.2,0.001,243748.3,0.001,387127.5,0.001,0.001,0.001,410129.9
1700,,,,,,,2.548,0.024,40.162,0.18,239.15,1.08,652.4047,0.0003,0.00027,2,1,2,5,96.1,,FALSE,0.001,0.001,12295.99,0.001,639920.8,0.001,0.001,317285.8,0.001,516955.3,0.001,0.001,0.001,0.001,0.001,170293.1,0.001
1701,Lycaconitine,25867-19-0,C36 H48 N2 O10,(M+H)+,668.3309,,0.23,0.001,45.575,0.151,271.44,0.9,669.335,0.0008,0.0002697,1.54,1,3,9,100,,FALSE,127573.9,0.001,0.001,0.001,103911.1,493600.7,138170.5,247490.8,90741.47,187764.2,62365.04,0.001,0.001,0.001,71919.01,0.001,0.001
1702,Leu-leu-tyr,20368-24-5,C21 H33 N3 O5,(M+NH4)+,407.242,,1.81,0.012,33.285,0.069,200.11,0.42,425.2765,0.0008,0.0002695,1.41,1,2,7,98.3,,FALSE,0.001,0.001,0.001,0.001,415099.2,129244.1,0.001,0.001,282422.2,57356.54,471094.1,0.001,386524.5,0.001,0.001,0.001,597715.8
1703,,,,,,,0.234,0.002,39.004,0.1,232.01,0.6,681.4921,0.002,0.0002691,1.49,1,2,8,93.7,,FALSE,0.001,0.001,0.001,42565.96,38012.58,304437.5,171598.1,302474.8,0.001,375489.7,0.001,136571.3,0.001,144020.3,0.001,0.001,0.001
1704,,,,,,,1.699,0,51.308,0.162,303.7,0.96,1008.5422,0.0009,0.0002681,1.92,1,4,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,480360.1,0.001,0.001,240836.3,0.001,0.001,869934.1,0.001,667111,0.001,0.001
1705,,,,,,,0.646,0.003,42.403,0.04,252.18,0.24,705.3827,0.0011,0.0002678,1.07,1,3,10,100,,FALSE,0.001,0.001,0.001,0.001,166550,277129.3,0.001,242134.2,108549.9,188694,0.001,87058.48,117661.3,154210.2,0.001,160672.9,137279.2
1706,"2,2-Dibutyl-3-(4-methoxyphenyl)-4-methyl-2H-1-benzopyran-7-ol acetate",,C27 H34 O4,(M+NH4)+,422.2457,,0.261,0,33.938,0.052,203.85,0.31,440.2834,0.0014,0.0002677,2.91,1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,492962.8,0.001,802554.8,0.001,0.001,0.001
1707,"4,4'-Methylene bis(2-methylaniline)",838-88-0,C15 H18 N2,(M+H)+,226.147,,0.532,0.006,24.246,0.049,149.22,0.31,227.1556,0.0006,0.0002675,0.97,1,3,10,90.4,,FALSE,0.001,0.001,27129.38,0.001,247206,97454.66,268795.9,0.001,0.001,165564,260832.1,0.001,238982.1,0.001,284657.6,128028.4,363673
1708,,,,,,,1.847,0.005,38.753,0.105,231.51,0.63,558.3305,0.0005,0.0002674,1.07,1,3,9,93.8,,FALSE,0.001,0.001,100288.4,189005.3,343401,86408.7,0.001,0.001,251555.9,214029.3,0.001,0.001,294174.4,0.001,162524.4,0.001,386519.9
1709,,,,,,,1.846,0.005,40.143,0.098,239.27,0.59,623.415,0.0009,0.0002673,1.16,1,3,9,100,,FALSE,0.001,0.001,0.001,128288.7,0.001,0.001,371971.8,184688.6,466733,57962.59,311649,0.001,325888.5,71004.39,0.001,116929.2,0.001
1710,Epothilone C,,C26 H39 N O5 S,(M+H)+,477.2549,,1.401,0.006,35.845,0.045,214.88,0.27,478.2659,0.0003,0.000267,1.05,1,3,9,100,,FALSE,0.001,0.001,0.001,67587.54,208048.8,147664.6,253452.8,257049.1,0.001,0.001,320119.1,0.001,315826.3,0.001,231204.1,0.001,363460.4
1711,,,,,,,2.823,0.001,53.114,0.296,314.49,1.76,997.5135,0.0021,0.0002666,0.71,1,3,13,100,,FALSE,0.001,70345.15,58463.79,93233.41,183085.8,23038.02,165941.5,186494.7,131701.7,131476.6,215019.5,0.001,152558.6,153006.5,0.001,0.001,249528.3
1712,,,,,,,0.228,0.001,47.909,0.059,283.95,0.35,898.1729,0.0014,0.0002661,2.39,1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,455102.2,0.001,325416.6,0.001,0.001,0.001,622304.1,0.001,0.001,0.001,0.001,0.001
1713,,,,,,,2.781,0.003,56.525,0.398,334.21,2.36,1140.5876,0.0022,0.000266,2.15,1,4,5,100,,FALSE,0.001,0.001,0.001,231497.3,0.001,0.001,0.001,0.001,46942.85,323317.7,0.001,0.001,0.001,173549.1,0.001,0.001,1239076
1714,OA-6129 E,85414-26-2,C21 H35 N3 O8 S,(M+NH4)+,489.2145,,0.872,0.007,35.527,0.049,212.62,0.3,507.2441,0.0007,0.0002657,1.15,1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,230957.8,0.001,166368.5,155441.1,331447.4,0.001,333932.8,0.001,395489.3,0.001,274946.2,0.001,445736.6
1715,Arginyl-Phenylalanine,,C15 H23 N5 O3,(M+H)+,321.1801,,2.582,0.083,28.222,0.043,171.11,0.26,322.188,0.0005,0.0002657,3.92,1,3,2,96.9,,FALSE,0.001,0.001,1137247,78627.02,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1716,Kaempferol 3-O-feruloyl-caffeoyl-sophoroside 7-O-glucoside,,C52 H54 O27,(M+NH4)+,1110.2852,,0.245,0.029,53.685,0.058,317.39,0.35,1128.3198,0.0028,0.0002654,2.69,1,2,4,97.5,,FALSE,0.001,0.001,0.001,0.001,133842.7,0.001,0.001,0.001,0.001,0.001,0.001,446532.9,1543461,13706.9,0.001,0.001,0.001
1717,CPA(18:1(11Z)/0:0),,C21 H39 O6 P,(M+Na)+,418.2484,,1.595,0.003,32.399,0.067,194.52,0.4,441.2356,0.0005,0.0002646,0.99,1,2,9,99,,FALSE,0.001,0.001,0.001,0.001,270171.7,0.001,225108.1,132023.8,297706.1,149662.6,265766.6,0.001,312542.7,0.001,0.001,133772.3,299662.3
1718,Austinol,72040-27-8,C25 H30 O8,(M+NH4)+,458.1941,,1.026,0.004,34.07,0.033,204.19,0.2,476.2272,0.0006,0.0002645,1.42,1,3,6,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,322127.8,0.001,304377.7,0.001,475787.9,0.001,452831,0.001,363696.3,0.001,498840.8
1719,Amifostine,20537-88-6,C5 H15 N2 O3 P S,(M+Na)+,214.0541,,0.261,,24.599,,151.07,,237.0433,,0.0002644,4.12,1,2,1,87.2,,FALSE,0.001,0.001,0.001,0.001,0.001,1471803,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1720,,,,,,,0.623,0.008,45.503,0.037,270.66,0.22,715.4555,0.0021,0.0002642,1.86,1,2,5,97.3,,FALSE,0.001,0.001,0.001,26138.38,0.001,333065.4,0.001,295182.8,0.001,349743.2,0.001,0.001,0.001,0.001,0.001,408508.3,0.001
1721,,,,,,,0.839,0.022,36.216,0.124,216.6,0.75,523.2394,0.0009,0.0002637,1.77,1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,442188.7,190707.1,801540.1,0.001,0.001,0.001,400468.2,0.001,0.001,0.001,455086
1722,,,,,,,0.216,,0.976,,4.32,,1194.8216,,0.0002636,4.12,1,4,1,87.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,2135902,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1723,1-(4-Hydroxy-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium,,C14 H18 N3 O2,(M+Na)+,260.1399,,0.82,0.094,26.886,0.072,163.84,0.45,283.1289,0.0009,0.0002631,2.24,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,559025.5,25383.25,0.001,0.001,0.001,0.001,1129748,0.001,688303.1,0.001,0.001
1724,,,,,,,2.391,0.027,29.688,0.037,176.9,0.22,572.7776,0.0015,0.000263,1.5,1,2,6,100,,FALSE,0.001,0.001,170891.2,0.001,0.001,0.001,281420,0.001,405649.9,0.001,0.001,0.001,0.001,0.001,423931.4,342272.4,260118.1
1725,,,,,,,2.806,0.004,52.296,0.242,309.44,1.44,1041.5143,0.0023,0.000263,1.49,1,3,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,508523.6,219314.7,0.001,0.001,0.001,220458.6,349591.1,287382.3,184679.3
1726,,,,,,,1.806,0.004,32.946,0.07,198.23,0.42,413.2775,0.0005,0.000263,1.33,1,3,7,100,,FALSE,0.001,0.001,0.001,120383.1,424864.9,0.001,0.001,0.001,327790.4,0.001,317545.1,0.001,438940.6,0.001,0.001,117204.5,505935
1727,Quinate,77-95-2,C7 H12 O6,(M+NH4)+,192.0634,,1.83,0.099,22.953,0.019,141.81,0.12,210.0981,0.0007,0.0002622,2,1,2,5,88.9,,FALSE,103969.9,0.001,144000.8,0.001,0.001,0.001,231225.1,0.001,0.001,0.001,0.001,565024,0.001,0.001,0.001,219547.9,0.001
1728,Asparagoside G,60267-27-8,C51 H86 O24,(M+Na)+,1082.5509,,0.857,0.009,54.438,0.049,321.94,0.29,1105.5373,0.0018,0.000262,1.11,1,3,9,100,,FALSE,0.001,0.001,57240.38,163406.8,319947.1,0.001,325920,0.001,155993.7,0.001,372237.2,0.001,151240.5,0.001,345713.8,0.001,295552.3
1729,Tigecycline,220620-09-7,C29 H39 N5 O8,(M+NH4)+,585.2799,,2.644,0.005,40.452,0.201,241.29,1.2,603.3168,0.001,0.000262,0.87,1,3,11,89.3,,FALSE,0.001,0.001,88733.58,0.001,163082.1,0.001,139244.8,177467.7,0.001,162757.5,239289,115272.7,0.001,200747.8,158225,105282.4,120069.7
1730,CPA(18:1(11Z)/0:0),,C21 H39 O6 P,(M+Na)+,418.2484,,0.929,0.008,33.519,0.088,201.3,0.53,441.2358,0.001,0.0002618,1.5,1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,271458.2,394523.8,0.001,260873.1,0.001,191638.7,0.001,0.001,0.001,135864.5,0.001,240597.6,0.001
1731,Cysteinyl-Tryptophan,,C14 H17 N3 O3 S,(M+Na)+,307.0991,,0.476,0.002,28.665,0.067,173.65,0.41,330.0883,0.0003,0.0002616,1.9,1,3,4,100,,FALSE,156601.9,252201.7,276610.2,349627.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1732,,,,,,,1.587,0.004,45.642,0.057,271.24,0.34,751.438,0.0011,0.0002611,1.26,1,3,8,100,,FALSE,0.001,0.001,0.001,0.001,287311.3,0.001,241296.5,254123,0.001,21934.79,316216,0.001,487412.8,0.001,176505.4,0.001,451520.4
1733,2-Tetradecanone,2345-27-9,C14 H28 O,(M+NH4)+,212.214,,0.718,0.005,28.241,0.032,173.94,0.2,230.2494,0.0004,0.0002611,1.61,1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,386721.9,290530,0.001,299938,0.001,0.001,0.001,301125.8,0.001,0.001,0.001,238411.8,0.001
1734,,,,,,,1.355,0.004,44.863,0.092,266.62,0.55,747.4439,0.0013,0.000261,1.39,1,3,7,100,,FALSE,0.001,0.001,0.001,0.001,284359.1,152373.3,348906.7,265768.1,0.001,48221.23,547514.3,0.001,0.001,0.001,356428.2,0.001,0.001
1735,PG(16:0/18:1(9Z)),81490-05-3,C40 H77 O10 P,(M+Na)+,748.5254,,0.38,0.003,47.776,0.037,283.86,0.22,771.5163,0.0014,0.0002601,1.87,1,3,4,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,320813.8,0.001,277821.3,0.001,316390.5,0.001,367138.8,0.001
1736,Cohibin A,189508-31-4,C35 H64 O4,(M+H)+,548.4805,,0.862,0.004,44.904,0.05,268.59,0.3,549.4897,0.0008,0.0002599,1.35,1,3,7,100,,FALSE,0.001,0.001,93284.7,172602,188140.3,243645.4,0.001,0.001,0.001,288279.6,0.001,0.001,0.001,252241.9,0.001,181281.3,0.001
