ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
25,Cucurbitacin B,6199-67-3,C32 H46 O8,(M+NH4)+,558.3193,,2.674,0.004,39.573,0.035,236.26,0.21,576.352,0.0008,0.0508061,0.35,1,5,17,100,x,FALSE,3006028,3319265,6792125,1.49E+07,2.92E+07,2.04E+07,3.19E+07,2.04E+07,3.45E+07,1.65E+07,3.58E+07,1.00E+07,4.28E+07,1.28E+07,2.50E+07,1.41E+07,4.18E+07
26,,,,,,,0.27,0.085,34.984,0.094,211.24,0.57,376.2612,0.0004,0.0488908,1.14,1,3,9,99.9,x,FALSE,8437662,0.001,2.51E+07,4.90E+07,4.61E+07,0.001,384035.7,0.001,5.42E+07,0.001,6.22E+07,0.001,0.001,0.001,6.56E+07,0.001,5.96E+07
27,3-(Methylthio)propyl acetate,16630-55-0,C6 H12 O2 S,(M+NH4)+,148.0558,,1.784,0.008,20.972,0.014,131.44,0.09,166.0897,0.0002,0.0436532,0.63,1,4,16,96.9,x,FALSE,1.59E+07,1.41E+07,2.05E+07,1.50E+07,0.001,1.82E+07,1.32E+07,1.50E+07,1.39E+07,1.58E+07,9458961,1.88E+07,8226123,1.55E+07,1.27E+07,1.34E+07,7463360
28,PC-M6,133613-76-0,C27 H35 N O3,(M+NH4)+,421.2617,,1.716,0.05,33.937,0.024,203.86,0.14,439.2926,0.0003,0.0429248,0.83,1,4,13,100,x,FALSE,0.001,0.001,0.001,1.14E+07,4.86E+07,1.29E+07,2.00E+07,1.47E+07,4.46E+07,1.14E+07,4.49E+07,0.001,5.23E+07,6948140,1.80E+07,6428386,5.51E+07
29,,,,,,,2.517,0.005,43.047,0.039,256.26,0.23,674.3872,0.0011,0.042765,0.69,1,5,16,100,x,FALSE,1678493,2558679,6151864,1.28E+07,4.57E+07,1.23E+07,2.47E+07,1.30E+07,2.91E+07,1.31E+07,4.37E+07,2681877,5.41E+07,7094591,0.001,1.06E+07,4.45E+07
30,Arginyl-Phenylalanine,,C15 H23 N5 O3,(M+H)+,321.1801,,2.627,0.009,28.841,0.012,174.89,0.08,322.1882,0.0003,0.0427611,0.75,1,4,15,100,x,FALSE,0.001,1873207,4877422,1.03E+07,2.11E+07,2.20E+07,3.22E+07,3.10E+07,1.54E+07,1.46E+07,0.001,2.89E+07,1.48E+07,2.37E+07,3214247,1.24E+07,3.82E+07
31,,,,,,,0.221,0.003,46.357,0.062,276.17,0.37,663.4565,0.0007,0.0420477,0.73,1,5,17,100,x,FALSE,1.60E+07,1.63E+07,1.35E+07,1.31E+07,6987805,1.61E+07,9601151,1.73E+07,1228730,1.86E+07,9368827,1.89E+07,814719.5,1.66E+07,1.14E+07,1.88E+07,2404308
32,"3,3'-Dimethylbenzidine",119-93-7,C14 H16 N2,(M+Na)+,212.1313,,1.27,0.075,25.165,0.034,154.65,0.21,235.1197,0.0009,0.0413598,1.73,1,4,5,100,x,FALSE,0.001,0.001,0.001,0.001,4.55E+07,3.78E+07,0.001,0.001,9.25E+07,0.001,5.03E+07,6.07E+07,0.001,0.001,0.001,0.001,0.001
33,Zidovudine,30516-87-1,C10 H13 N5 O4,(M+H)+,267.0968,,0.571,0.008,25.436,0.025,155.3,0.15,268.1054,0.0003,0.0395415,1.68,1,4,7,100,x,FALSE,1.06E+07,2.15E+07,3.76E+07,5.75E+07,8.66E+07,0.001,0.001,0.001,0.001,0.001,471487.4,0.001,0.001,161139.7,0.001,0.001,0.001
34,,,,,,,1.588,0.006,19.82,0.016,127.52,0.1,120.0816,0.0002,0.0394677,0.39,1,3,15,100,x,FALSE,0.001,0.001,9477154,1.58E+07,2.37E+07,1.51E+07,2.21E+07,1.74E+07,2.48E+07,1.59E+07,2.28E+07,1.02E+07,2.55E+07,1.21E+07,2.13E+07,1.44E+07,2.55E+07
